text,label
I've been eagerly waiting for this updated version. I can't thank you enough.,1
"WOW! Great Content as always, thanks for sharing it!",1
"Great tutorial as always, Brad! I hope you've been feeling better lately, definitely noticed the uptick of content on the channel. A couple years ago I dealt with what I assume is very similar to the vertigo shit that you've been going through. After about 4-5 months it wasn't so debilitating and then just disappeared forever. Have a great weekend man",1
You sir are an angel. Just when I needed a refresher course in react. Bless you Brad,1
"49:06 :))) Why we love you. These little things, like a cherry on the top.",1
This course is just *PERFECT* Thank you!,1
"Great seeing you back, I am loving react & redux! I hope you are doing well, my man!",1
thanks Brad! your timing couldnt be better! i've been needing a touch-up on my React skill! Hope you're doing well!,1
"Haha wow what a perfect timing,  Yesterday I just got into React and now you upload a updated video on this ! Thanks man.",1
I've been watching all your react videos for the past week in preparation for a potential job interview and then this comes along at the perfect time.,1
I was really sad when he didn't add the dark background back :((,0
<3,1
❤️❤️❤️,1
"wow, amazing!
kindly upload a similar kind of crash course for react-native.",1
holy shit!!! i decided to learn react today and this was uploaded,1
A light of happiness during covid time when saw Brad’s video.,1
"Great video, just what I was looking for to refresh on React after a little time away.",1
"Wow. Right at time when I needed it most, You are really blessing Brad!",1
I literally just finished watching your React Crash Course from 2019 and then I see this haha,1
So glad you're back! I loved all the guests; my sub-list is a mess now!,1
Legend ❤,1
This is amazing. 2 hours well spent. Thanks 🙏,1
"thanks for the memory refresh, React router is so unintuitive",1
I always lust to watch your videos. so waiting your upcoming tutorial. Love💕 you Brad sir.,1
"Oh maanh, u post it on right time 😍
I just wanted some revision to React since I liet touch with it..",1
"I just love your courses!  So detailed, clean and clear. You made life easy . Thank you and god bless you. 👍🏼😊",1
"Really helpful, and I managed to get through the tutorial without having to copy much from your repo other than the css (bc I'm lazy). The only question I have is , how do I know when to use ()  vs {} in some cases where you want to deal with a component? (I saw you doing it on the Button in header at the end, and in  when displaying the tasks through the Route component).  Thank you!",0
when you are going to upload the full react course?,1
Could you do a tutorial on a fullstack website with react?,1
"Mind Blow!

Thank you for awesome course brad, react is awesome, but you're the best :)",1
"I'm not commenting videos often but man, you're inspiring so much, thanks!",1
"Thank you for the tutorial Brad. I have a question though, what's your take on tabnine vscode extension? Should I use it? Is it good?, Is it safe?",1
Welcome back Brad.. waiting for Vue 3 course <3,1
"Lmao I needed this literally now, I'll watch this and then buy the course",1
Just bought your udemy course. The way you teach is impressive. Thank you!,1
I love you so much brad.. it happened that im learning react now..,1
"Great 🔥 react for me, in this moment is the best. Thanks Brad 😜",1
"Damn, I had watched your React Crash Course the day before you released this video",1
Thank you so much! Your Legend!,1
Thank you so much ❤️,1
Awesome! Always appreciated your work. Thank you man.,1
Bruhhhh you read my mind. I was just thinking about when you were going to drop a react js crash course 😂,1
"Am starting React now let me see what I can accomplish at the end of this tutorial.
Otherwise Thanks Brad .
God bless you!!",1
thank you just finished it. just a newbie question how can i deploy react build along with json server on heroku?,1
I just have started on learning React since couple of days ago and your video brings me a whole world :) Thank you a lot <3,1
"Just what I was looking for! Man, you save lives.",1
No time wasted! It gladdens my heart anytime I see upload from Traversy.. God bless you always .,1
"Thank you for the video, and glad to hear you are back Brad!",1
"Thanks for this! I've been using Gatsby, and it's great. But I'd like to learn more about React :)",1
Thank you Brad. Would you please make full stack react tutorial with Authentication.,1
"Thank you Brad, one of my goals this year was to learn React and having you as a teacher makes everything better",1
The first 10 minutes is one of the best explanations of React I've ever heard.,1
Thank you so much for the content. I really appreciate it. Just want you to know that I watch and review your material every day almost religiously.,1
43:43,-1
"Brad, you're truly a legend!",1
"1:25:20 , missing i for id , i am  following closely",0
Great ....take love and RESPECT ❤️,1
You create some of the best tutorial videos on YouTube ❤️,1
Wow ! I was waiting for this😭😭😭so long ..u heard it💖,1
You're a rockstar Mr. Brad! Thank you again for a great course!,1
"Thank you Brad, this is a fantastic tutorial -- keep up the good work and thanks again!",1
"Great tutorial, thanks for making it. Have a quick question regarding a part of the syntax that appears, at 54:00 in the video, while you’re adding onDelete to Task.js I believe when you saved that code, {‘ ‘} was added right after {task.text} within the h3 element, if you could, please explain what that is for me. Thank you.",1
I needed this. Thank you.,1
Such an awesome tutorial! Could you also do a React with TypeScript project based tutorial? Maybe build the same react app with TypeScript?,1
Brad Bro Rocks 🔥 Already a good starting of the year,1
Literally yesterday I just wished there was an updated version xD,1
"Great tutorial! About to start a job as a junior dev with React, good material for revision!",1
"I already know React, watching this anyways : P",1
Brad! Thank you so much for all the effort!,1
"Thanks for the great roundup of the last couple of years of changes to React, Brad! Plenty of experienced devs would be wise to spend the 90 minutes.",1
"Hello Brad, thanks for your effort man. I hope you can make a ReactNative version of this crash course, that would be amazign as well. Take care :)",1
We love you Brad❤️,1
"As always, thank you so much Brad. Don't need this, but so happy to see you helping the new guys and girls. We're all in this together. Best of luck to everyone in 2021!",1
Glad you’re back Brad! I’m going to be learning React later this year so I’ll come back to this 😅,1
hey man thanks for the awesome tutorials im only 12 and trying to learn coding and you have helped me out a lot with your crash courses thank you and keep making awesome content,1
"Hi,  Traversy Media! I would like to thank you for the content and years of dedication, I really love and enjoy all the content of teh channel.
Thanks and stay safe and healthy:)))",1
Thank you brad ✌🏾,1
"Looking for React Crash Course , and see The God just dropped one ❤️❤️🔥",1
🙌🙌,1
Perfect timing! Thanks,1
Wow! Just wanted to watch your previous react crash course and you've released a new one. Thanks a lot!,1
"You're a legend, man!",1
Thank you so much Brad for this awesome video.. :),1
"▶️ Watch Entire Kivy Playlist                                             ✅ Subscribe To My YouTube Channel: 
       https://bit.ly/37LrJ27                                                           http://bit.ly/2IGzvOR    
▶️ See More At:                                                                    ✅ Join My Facebook Group: 
       https://Codemy.com                                                             http://bit.ly/2GFmOBz 
▶️ Learn to Code at https://Codemy.com                        ✅ Buy a Codemy T-Shirt!
      Take $30 off with coupon code: youtube1                         http://bit.ly/2VC9WUN
▶️ Get The Code
       http://bit.ly/2MmXJRk",-1
"Hey, how can i make a rounded button, with a border?",1
"I was waiting for this one.
Thanks...",1
"Hello Codemy, these videos are very helpful for completing my senior design project. Could you do a video on  implementing a virtual keyboard? 
Thanks.",1
"Thanks, I really needed this",1
I don't know why your tutorial are so underrated by the way love your tutorial ❤️👍🏻,1
"Thank u for this , love always ur playlist",1
Very useful and excellent💚💜,1
Hi! Does sublime ide work with android ..if not what ide or editor works with adroid beside adroidstudios,1
Thanks Sir,1
Very good one💙. But can we Use one class function property in another class function?,1
Just something worth mentioning: += is for a sequential animation while &= would animate in parallel,1
Can. I ask what method u used too home ur skills .read books youtube videos.  Self learn with. Both youtube videos and books,1
can this be done in tkinter??,1
Very cool 😸,1
Very cool!,1
Hi,1
Should improve video quality and add more inforamtion BAD ONE,0
"Below is an outline of this video.

Also, a few tips:
1. Here is the playlist for this series: https://goo.gl/4dQMsJ
2. If you want to learn faster than I talk, I’d recommend 1.25x or 1.5x speed :)
3. Download the sample files here to follow along (they are Jupyter Notebook files): https://www.csdojo.io/python1
4. Have fun! If anything is unclear, please let me know in a comment.

0:00: Introduction
0:17: Who’s this tutorial for?
0:30: An outline of this video
1:18: What is Python and what can you do with it?
2:01: What is IDE and why I chose Jupyter Notebook
3:09: How Jupyter Notebook works
4:19: How to install Python and Jupyter (through Anaconda)
5:58: Launching Jupyter
7:59: The print() function
10:24: Introduction to variables
13:08: What are variables (in Python)?
16:42: Assigning a variable to another variable
19:03: A practice problem - swapping two variables
20:40: Solutions to the practice problem - swapping two variables",1
Shout out to every one learning programming during quarantine,1
"i want to learn python.
teachers in my country: pay me
asian programmers: i got you son.",1
The ironic part is that he “quit” working for google and yet he’s still getting paid by google XD,1
"This man has a folder name ""Why I left Google"" I love it",1
After watching this I feel like my brain has increased by 101%,1
I'm just starting to learn programming during quarantine!! WHO ELSE IS WITH ME?? IM NOT CRAZY! LOOK MOM I CAN TYPE HELLO WORLD ;-; are you proud,1
"In the moment when he says ""Jupyter Notebook"" my brain runs 5 times quicker, and than gets to the normal.",1
I got a freaking ad saying I’m wasting my time trying to code,1
When i had to switch the variables was really confusing but when he explained it with temp = v1 i got it instantly. i like that he showed multiple ways!!,1
"me: print(""hello world"")
       mom I am a programmer now!",1
so my dad wanted me to do something with my computer so I finally decided to learn some sort of programming language and it is really helping,1
I love he says he's the founder of this channel,1
He explains it so simple that even a baby can understand it. I've been on other tutorials and this is the best one on YouTube.,1
"Nobody on YouTube can explain better then him , Thanks CS Dojo",1
"Coronavirus outbreak starts:

People: lets learn programming!",1
Anybody else was doing well and got confused as fuck at the end,0
How is it when am not in school that I figure out what I want to do in life and actually learn,1
I got confused when swapping variables,0
He left the google's job now he is getting much less money than before so i just have an request that plzz watch even 2-3 ads so that he gets paid ....,1
Starting my journey to learn programming and this was such an easy tutorial to follow! Thank you so much!,1
I just started teaching myself to code today. I literally have no experience in coding or what it means. This has been an excellent video to get me started. I never felt like I didn't understand what was happening and it was easy to stay engaged. Thank you for making this resource.,1
I already know print print(“Oof”),1
When he said ‘ ahhhhh’ I literally crack up lol,0
Seeing his hard work I am even Watching the ads fully so that he gets paid,1
when a 25 mins video is better than your 2.5 hrs introduction class in cs,1
"So next year I'm going to a school that has a computer science class, and this will hopefully get me a head start on things. Thank you!",1
"So far, his teaching seems to be the best. I was able to understand things much better than other people's tutorials.",1
"Thanks, man! Decided to learn Python and found your playlist. Looking forward to the whole series!",1
raise ur hand if u watchin' during quarantine,1
"I'm feeling so happy when click and see this channel, thx!",1
"Thanks for the simple tutorial, most other beginners tutorials are very fast and hard to follow. You make it very easy and take the time to explain slowly, thank you!",1
"I was quite surprised when I solved the problem that you gave at last in my first trial😱😲.Because it is my first time learning a  programming language.So,thanks a lot for being a wonderful teacher.

PS:And of course thanks to the  corona virus and the quarantine.",1
"i find this extremely useful, thank you so much for taking your time to create this tutorial. i just took my first step in learning how to code. others kept beating about the bush instead of teaching first step",1
Wonderful video to learn Python Thanks for uploading from durgasoftware,1
thank u for being there when everyone in uni courses pretend we already know how code python,1
wonderful!! i am new to this and been looking for so long and finally found it. subscribed it and lovin it. thanks a lot CS Dojo for starting from a scratch!!,1
"Who else is like ""What did I just watch? Am brain ded""",1
This guy explained it so much better than my teacher! Thank you very much.,1
"I came here because of “start up” kdrama ,anyone same with me?",1
"I am trying to learn the basics of programming even though, my major is Engineering Science so can I really Python for free?",1
"12:45
print(c)
print(""General Kenobi"")",1
"I was recommended to Joes_lock on I.G
The best  programmer I have ever seen",1
"I may be a bit late into the ""Let's learn programming during quarantine"" party but I assure you we will all come out of this with fruitful results. Stay safe everyone <3",1
"I was recommended to Joes_lock on I.G
The best  programmer I have ever seen",1
now im getting a ton of adds about coding academy's ._.,0
"YK, I have learning disabilities and autism

This was incredibly easy to follow, thank you so much.",1
i  just want to learn how to make a screaming roomba,1
"""Just click 'agree with everything'""
Spoken like a true Google programmer.",1
"Yeah, I remember that pointless thing we did almost a decade back! What? The Python I learnt yesterday? Don't remember it.",1
I love how easy this video to understand as a beginner. Thanks a bunch!,1
"This was extremely helpful. I have spent 2 days on codecademy confused out of my mind following the steps. But this tutorial here was well thought out, and well explained. Thank you @DS Dojo",1
"i have been looking into coding for awhile now and finally and trying to learn it, this video was really helpful! Thank you.",1
"Thank you so much for this! I have been contemplating learning code for almost a year now. 
Very concise, easy to follow and grasp.

Now I'm excited!!!",1
pls im just 14 i didnt signed up for this why is this 20 percent of my final exam,0
"Whenever i try to break a line, it runs what i have written instead. How do i fix this?",0
"One of my wish is to learn a lot, how to make Coding then perfectly Run.
Programming language, really difficult for me. mostly my classmates called me Slow learner.😢

thank you po",1
"Me: I've always wanted to learn how to code, now would be a great time!
Ad: hey you, yeah you, you suck at programming, buy my course.",1
This is awesome! I love how you mark the time points and name each of them - soooo easy to navigate and makes learning on YouTube more efficient!,1
I MADE IT ADD VARIABLES!!! Hahaha I’m a genius! SOON I SHALL RULE THE WOOOOOOOOORLD!!!,1
"[a,b]=[b,a]. I expected to see this moment when author mentioned swapping variables.",1
"I have literally just have watched 2 videos about programming, and I am already getting ads for it",1
"Great resource! Thanks for explaining things in simple, easy-to-understand ways! Do you have a recommendation of good Python Discord servers to join?",1
Lol I came up with the solution of creating 2 temp variables and I was so proud until I saw I could do it with just 1 :’(,1
Plot twist: Juypiter was coded in java 🤷‍♂️,1
"Woww...thanks, you revived a lot of my memories of learning this. I forgot most of the things i learnt last year when i was a 9th grader.. i need to finish a project that is really important. So this thing is really useful 😌",1
"That satisfied feel when you've understood everything...
Thank you.",1
"Hey CS Dojo, you make amazing videos! I'm a bit concerned that when I downloaded Anaconda many other apps, such as something called 'Spyder', got installed as well. So is it supposed to be like this?
Many thanks,
Fury Sid",1
I just  started learning python a couple days ago. I spent 2 years working on learning C++ and J++ in homeschool but that was like 13 years ago and I never could understand it. This is a language that finally makes sense to me.,1
how did you automatically created the parenthesis and quotation mark at once and put the cursor in the middle???,0
been wanting to learn python or c amazing channel would recommend to anyone watching i understood this very well! overall 10/10!,1
i'm regretting the time i spent searching for tutorials before finding this awsome channel on 2020,1
Just Amazing Tutorial....I studied chemistry throughout my school & college life but I wanna learn python and I understand everything you said in this video...,1
Thanks for the playlist. I am a beginner in programming and this is a good introductory course for me.,1
"24:06 Hello CS Dojo I tried this Swapping Two Variables on my own computer and then came up like a first string like that? How is it possible that there
is second  string on your video? what is the point of v1 refering to v2?",0
Learning this cause I’m failing and idk what my teacher is saying 😂,0
Please make the whole series of python 👍and also make machine learning video series!!,1
9:58 he is indeed part of the 9 Trey bloods.,1
Noooo.. now that corona has come everyone is smarter than me.,0
This guy is amazing 🙌🏿. Thanks for this content! I know I'm 2 years late 😂,1
"Wow, I enjoyed this 24minute video I can't believe myself. 😍 I wanna learn more, this is more interesting than some of the subjects they discuss in school 😁",1
You are a gift from the programming gods,1
Wow all the other channels that cover this topic make it sound way harder than it is your the best teacher I've ever seen 👍 👏 Edit: now I don't have to write everything down on a white board that's nowhere near big enough,1
"oof, i hab dum, i thought the first string was going to be            Console.WriteLine(""bla bla"");",0
Thank you for this tutorial! It was very straight forward and I hope to learn more about python! Do you have any recommendations on where I can take the course for beginners online?,1
You’re great at explaining 🙌🏽 Thankyou so much for these videos :’)),1
I'm really appreciating your work Yk I just downloaded anaconda I was into java but I realized python gon be better since I'm a beginner and u are my best teacher now thanks alot,1
"Hloooooo..... I watched every vedio after watching one of your vedio .I loved watching and very understanding ,I saw your article about how to get jobs at big companies and following steps it was soo understanding  .sooo, I want to recommand that u your subscribers need an article about python and how to become a pythonier ......",1
"I'm just starting, but looking forward to the series.  Thanks, CS Dojo!",1
"I am having a trouble with launching the anaconda navigator on my windows 7, any advice?",1
I love how I got a ad for python while watching this,1
I loved it! OMG THANK YOU SO MUCH!!! This will help me to progress to become a programmer like i have wanted to be for the past year! Btw i liked and subbed.,1
"About first lecture- this ws more exciting to me as i want to learn  tq so much sir ,the of teaching is too good to understand",1
"Me trying to figure out what coding is 
YouTube ads: so u want to become a software engineer at google",1
"a=“this tutorial was awesome!!!”
print(a)

this tutorial was awesome!!!",1
Have just  started to learn now may the almighty God help me to understand this 🙏,1
Bruh this guy explains too nicely. I understood every word of him.,1
This video is so helpful and let me just notice that cutie stuff toy hanging in there. 😊,1
I have Windows 7 professional with 0kbps-30kbps network speed and my parents dont allow money in these they recommend free things I made my offline website in notepad ;-;,0
"Hi, I m new in BSCS 
I want to know where from I start to watch your learning videos?",1
you pressed the butt XD,0
"To clarify, the ""self.b1.clicked.connect(self.clicked)"" line is a bit misleading. Tim made a method called ""clicked"" referenced in self.clicked but the QPushButton also has a clicked attribute.
So, self.clicked references Tim's created method, while the .clicked attribute is built into self.b1. He probably should have renamed his method to avoid this confusion. Hope this helps someone.",0
"Thanks Tim !.. your tutorials are very clear, with a slow , easy & understandable English for non-native english spoken users!...",1
2:40 Is it an anonymous function using the `lambda` keyword?,1
"Damn, interesting.. thank you for the tutorial",1
"Phenomenal series, thank you so much!",1
Next tutorial on pwa with python or python with react/react native☺️☺️  great work👍,1
Could you do a tutorial on docker after this series. I would really appreciate it because there aren’t a lot of tutorials on docker and you can explain things really clearly and effective.,1
dude!its Giving error of tab error. some type space indention!! please help using sublime text 3 editor for this,0
"HELP When I run the exact same program @ 1:53 it says this:
'PyQt5.QtCore.pyqtBoundSignal' object has no attribute 'connnect'",0
Nice tutorials Tim. I appreciate that you showed the raw code first BEFORE demoing the designer.,1
You're a dawg for creating this content for free. You're helping so many people become better man. Thank you.,1
"Does this app run on Android?? Thanks, your tutorials rock.",1
"Your tutorials are so useful and clear and easy to follow. Great work, man! Thank you so much!",1
"Hi, thank you for sharing, please, what about if I want to button to behave like a calculator, when I click it shows up the number in a separet windows? Sorry for my broken English, Iam angolan and we Speak Portuguese.",1
"that's amazing, great thanks!",1
"Nice one pal. I was waiting for some GUI tutorial on python and yours is exactly what I was expecting from a tutorial: simple, clear and easy enough to understand (so long, at least). Keep up the good work",1
"Hi Tim. Your content is amazing. Easy to follow and well structured. Thanks. If this point has not been brought up, you could nest your clicked function under your window function. This way your clicked function has access to all the variables under your window function as they are in the same scope. That is if you don't want to define a class.",1
🔥,1
"Hey, I'm from Brazil, my english is not too good, but I can understand you perfectly, good job, thanks. <3",1
"Robust tutorial :)
Looking forward to learn more PyQt5 from you!",1
"thank you very much, this was very clear and concise",1
Yes! I've been waiting all day for another pyqt5 video,1
"In order to pass the label, you can use the lambda function and then refer it as  a parameter for the function.",0
Thanks for your tutorial. I was eagerly wanted to learn  PyQt5 but i was not having any source to learn from. Your tutorials are very easy to follow.,1
hey tim. When did you start to press your butt. ;  ),1
"I get warning for defining instance attribute outside the __init__ function by pylint, maybe you need to put them back to the __init__ function to follow best practice.",0
Great video !! Why does the label x and y seem to change when you click the button ? It looks like the new label shows a bit higher!?!,1
Add action to a button 01:04,1
so if we have multiple buttons we have to create separate update functions for them?,1
You're awesome! it was great.,1
Thanks for yours videos they helps me a lot !!!,1
YOU ARE THE BEST. Tomorrow is my contest submission date and you saved my life. Bro <3,1
"Although all the OOP stuff is great, it seems to me that you would have to keep doing this labor intensive work every time you used Designer to tweak your GUI. Could you somehow pass the reference to QMainWindo (""win"") to other methods that need access? Actually.... I'm not even sure if b1 is a member of the win class.... so maybe that won't work.",0
thanks.,1
Awesome vids. Simple and efficient.,1
How to upload image n save the path in database,1
"How to Add buttons via with at method?  To Create a dynamic UI?

Nice Vid btw :)",1
i wrote everything at the exact same place and i always get this error: unindent does not match any outer indentation level,0
"Hi Tim,  thanks for your python tutorials that help me and my team to learn it in simple way.
I am facing problem with  'designer'. I did pip for PyQt5-tools l, however 8 did find the designer under folder. Please help.",1
"What is the difference between:
super(Myw=Window,self).__init__() 
&
super(QMainWindow).__init__() ?",1
"thanks mate, can you make more videos' on this GUI please",1
Nice tut,1
great video!!,1
Gracias Tim.,1
